scheme,data_size,data_label,repeat,elapsed_us,throughput_mbps,speedup
default_loop,1024,1 KB,2000,90431,21.598,1.0000
unrolled,1024,1 KB,2000,78867,24.765,1.1466
reduced_dep,1024,1 KB,2000,88942,21.960,1.0167
xbox,1024,1 KB,2000,70768,27.599,1.2779
xbox_merged,1024,1 KB,2000,54189,36.043,1.6688
zbb_default,1024,1 KB,2000,78656,24.831,1.1497
zbb_xbox,1024,1 KB,2000,54595,35.775,1.6564
default_loop,16384,16 KB,200,142725,21.895,1.0000
unrolled,16384,16 KB,200,126852,24.635,1.1251
reduced_dep,16384,16 KB,200,143110,21.836,0.9973
xbox,16384,16 KB,200,111774,27.958,1.2769
xbox_merged,16384,16 KB,200,86859,35.978,1.6432
zbb_default,16384,16 KB,200,126324,24.738,1.1298
zbb_xbox,16384,16 KB,200,87908,35.549,1.6236
default_loop,65536,64 KB,50,143122,21.835,1.0000
unrolled,65536,64 KB,50,127438,24.522,1.1231
reduced_dep,65536,64 KB,50,142790,21.885,1.0023
xbox,65536,64 KB,50,111452,28.039,1.2842
xbox_merged,65536,64 KB,50,87081,35.886,1.6436
zbb_default,65536,64 KB,50,126595,24.685,1.1306
zbb_xbox,65536,64 KB,50,88003,35.510,1.6263
default_loop,262144,256 KB,20,228817,21.852,1.0000
unrolled,262144,256 KB,20,203996,24.510,1.1217
reduced_dep,262144,256 KB,20,229214,21.814,0.9983
xbox,262144,256 KB,20,180207,27.746,1.2697
xbox_merged,262144,256 KB,20,140820,35.506,1.6249
zbb_default,262144,256 KB,20,202986,24.632,1.1273
zbb_xbox,262144,256 KB,20,142282,35.141,1.6082
default_loop,1048576,1 MB,5,230153,21.725,1.0000
unrolled,1048576,1 MB,5,205696,24.308,1.1189
reduced_dep,1048576,1 MB,5,231046,21.641,0.9961
xbox,1048576,1 MB,5,180713,27.668,1.2736
xbox_merged,1048576,1 MB,5,143524,34.837,1.6036
zbb_default,1048576,1 MB,5,204391,24.463,1.1260
zbb_xbox,1048576,1 MB,5,145131,34.452,1.5858
default_loop,4194304,4 MB,2,371514,21.534,1.0000
unrolled,4194304,4 MB,2,332063,24.092,1.1188
reduced_dep,4194304,4 MB,2,371906,21.511,0.9989
xbox,4194304,4 MB,2,294921,27.126,1.2597
xbox_merged,4194304,4 MB,2,238328,33.567,1.5588
zbb_default,4194304,4 MB,2,330450,24.209,1.1243
zbb_xbox,4194304,4 MB,2,239050,33.466,1.5541
default_loop,16777216,16 MB,1,753857,21.224,1.0000
unrolled,16777216,16 MB,1,675496,23.686,1.1160
reduced_dep,16777216,16 MB,1,756850,21.140,0.9960
xbox,16777216,16 MB,1,600614,26.639,1.2551
xbox_merged,16777216,16 MB,1,493792,32.402,1.5267
zbb_default,16777216,16 MB,1,672931,23.777,1.1203
zbb_xbox,16777216,16 MB,1,501006,31.936,1.5047
