scheme,data_size,data_label,repeat,elapsed_us,throughput_mbps,speedup
default_loop,1024,1 KB,2000,89798,21.750,1.0000
unrolled,1024,1 KB,2000,79055,24.706,1.1359
reduced_dep,1024,1 KB,2000,89078,21.926,1.0081
xbox,1024,1 KB,2000,68853,28.367,1.3042
xbox_merged,1024,1 KB,2000,53695,36.374,1.6724
zbb_default,1024,1 KB,2000,78267,24.955,1.1473
zbb_xbox,1024,1 KB,2000,54246,36.005,1.6554
default_loop,16384,16 KB,200,142599,21.915,1.0000
unrolled,16384,16 KB,200,126458,24.712,1.1276
reduced_dep,16384,16 KB,200,142190,21.978,1.0029
xbox,16384,16 KB,200,110862,28.188,1.2863
xbox_merged,16384,16 KB,200,86336,36.196,1.6517
zbb_default,16384,16 KB,200,126060,24.790,1.1312
zbb_xbox,16384,16 KB,200,87376,35.765,1.6320
default_loop,65536,64 KB,50,142683,21.902,1.0000
unrolled,65536,64 KB,50,126609,24.682,1.1270
reduced_dep,65536,64 KB,50,142329,21.956,1.0025
xbox,65536,64 KB,50,111120,28.123,1.2840
xbox_merged,65536,64 KB,50,86529,36.115,1.6490
zbb_default,65536,64 KB,50,126080,24.786,1.1317
zbb_xbox,65536,64 KB,50,87513,35.709,1.6304
default_loop,262144,256 KB,20,228398,21.892,1.0000
unrolled,262144,256 KB,20,203037,24.626,1.1249
reduced_dep,262144,256 KB,20,228416,21.890,0.9999
xbox,262144,256 KB,20,178425,28.023,1.2801
xbox_merged,262144,256 KB,20,139955,35.726,1.6319
zbb_default,262144,256 KB,20,202391,24.705,1.1285
zbb_xbox,262144,256 KB,20,142032,35.203,1.6081
default_loop,1048576,1 MB,5,229678,21.770,1.0000
unrolled,1048576,1 MB,5,204676,24.429,1.1222
reduced_dep,1048576,1 MB,5,229647,21.773,1.0001
xbox,1048576,1 MB,5,180266,27.737,1.2741
xbox_merged,1048576,1 MB,5,142539,35.078,1.6113
zbb_default,1048576,1 MB,5,203844,24.529,1.1267
zbb_xbox,1048576,1 MB,5,145201,34.435,1.5818
default_loop,4194304,4 MB,2,371080,21.559,1.0000
unrolled,4194304,4 MB,2,331496,24.133,1.1194
reduced_dep,4194304,4 MB,2,371338,21.544,0.9993
xbox,4194304,4 MB,2,293024,27.302,1.2664
xbox_merged,4194304,4 MB,2,235395,33.985,1.5764
zbb_default,4194304,4 MB,2,330143,24.232,1.1240
zbb_xbox,4194304,4 MB,2,238790,33.502,1.5540
default_loop,16777216,16 MB,1,752729,21.256,1.0000
unrolled,16777216,16 MB,1,674277,23.729,1.1163
reduced_dep,16777216,16 MB,1,753341,21.239,0.9992
xbox,16777216,16 MB,1,600716,26.635,1.2531
xbox_merged,16777216,16 MB,1,493349,32.431,1.5258
zbb_default,16777216,16 MB,1,671738,23.819,1.1206
zbb_xbox,16777216,16 MB,1,500507,31.968,1.5039
