timestamp,target,compiler,opt,variant,mode,threads,data_len,loop,time_s,data_bytes,throughput_MBps,throughput_MiBps,verify,checksum,binary,cflags
2026-05-16T21:28:27,wsl-arch,gcc,O2,decrypt_parallel_original,cbc_decrypt_parallel,1,1048576,100,0.877335,104857600,119.52,113.98,ok,a983a2ee,decrypt_parallel_original_O2_t1,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=1 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O2_t1
2026-05-16T21:28:28,wsl-arch,gcc,O2,decrypt_parallel_original,cbc_decrypt_parallel,2,1048576,100,0.449769,104857600,233.14,222.34,ok,a983a2ee,decrypt_parallel_original_O2_t2,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=2 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O2_t2
2026-05-16T21:28:28,wsl-arch,gcc,O2,decrypt_parallel_original,cbc_decrypt_parallel,4,1048576,100,0.242982,104857600,431.54,411.55,ok,a983a2ee,decrypt_parallel_original_O2_t4,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=4 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O2_t4
2026-05-16T21:28:29,wsl-arch,gcc,O2,decrypt_parallel_original,cbc_decrypt_parallel,8,1048576,100,0.259097,104857600,404.70,385.96,ok,a983a2ee,decrypt_parallel_original_O2_t8,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=8 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O2_t8
2026-05-16T21:28:30,wsl-arch,gcc,O2,decrypt_parallel_table,cbc_decrypt_parallel,1,1048576,100,0.591753,104857600,177.20,168.99,ok,a983a2ee,decrypt_parallel_table_O2_t1,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=1 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O2_t1
2026-05-16T21:28:30,wsl-arch,gcc,O2,decrypt_parallel_table,cbc_decrypt_parallel,2,1048576,100,0.305452,104857600,343.29,327.38,ok,a983a2ee,decrypt_parallel_table_O2_t2,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=2 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O2_t2
2026-05-16T21:28:31,wsl-arch,gcc,O2,decrypt_parallel_table,cbc_decrypt_parallel,4,1048576,100,0.168222,104857600,623.33,594.45,ok,a983a2ee,decrypt_parallel_table_O2_t4,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=4 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O2_t4
2026-05-16T21:28:31,wsl-arch,gcc,O2,decrypt_parallel_table,cbc_decrypt_parallel,8,1048576,100,0.178157,104857600,588.57,561.30,ok,a983a2ee,decrypt_parallel_table_O2_t8,gcc -std=c11 -O2 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=8 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O2_t8
2026-05-16T21:28:32,wsl-arch,gcc,O3,single_original,cbc_encrypt_single,1,1048576,100,0.868307,104857600,120.76,115.17,ok,391f66a7,single_original_O3,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 /home/csexperiment/code/sm4_single_stream_original.c -o /home/csexperiment/code/build_sm4_bench/single_original_O3
2026-05-16T21:28:33,wsl-arch,gcc,O3,single_table,cbc_encrypt_single,1,1048576,100,0.579853,104857600,180.83,172.46,ok,391f66a7,single_table_O3,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 /home/csexperiment/code/sm4_single_stream_table.c -o /home/csexperiment/code/build_sm4_bench/single_table_O3
2026-05-16T21:28:35,wsl-arch,gcc,O3,multibuffer_original,cbc_encrypt_multi_buffer,1,1048576,100,0.867420,104857600,120.88,115.28,,391f66a7,multibuffer_original_O3_t1,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=1 -pthread /home/csexperiment/code/sm4_multibuffer_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_original_O3_t1
2026-05-16T21:28:36,wsl-arch,gcc,O3,multibuffer_original,cbc_encrypt_multi_buffer,2,1048576,100,0.872198,209715200,240.44,229.31,,cbb2ec24,multibuffer_original_O3_t2,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=2 -pthread /home/csexperiment/code/sm4_multibuffer_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_original_O3_t2
2026-05-16T21:28:37,wsl-arch,gcc,O3,multibuffer_original,cbc_encrypt_multi_buffer,4,1048576,100,0.894511,419430400,468.89,447.17,,02f72479,multibuffer_original_O3_t4,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=4 -pthread /home/csexperiment/code/sm4_multibuffer_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_original_O3_t4
2026-05-16T21:28:39,wsl-arch,gcc,O3,multibuffer_original,cbc_encrypt_multi_buffer,8,1048576,100,1.782764,838860800,470.54,448.74,,2f850ac2,multibuffer_original_O3_t8,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=8 -pthread /home/csexperiment/code/sm4_multibuffer_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_original_O3_t8
2026-05-16T21:28:40,wsl-arch,gcc,O3,multibuffer_table,cbc_encrypt_multi_buffer,1,1048576,100,0.579759,104857600,180.86,172.49,,391f66a7,multibuffer_table_O3_t1,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=1 -pthread /home/csexperiment/code/sm4_multibuffer_table_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_table_O3_t1
2026-05-16T21:28:41,wsl-arch,gcc,O3,multibuffer_table,cbc_encrypt_multi_buffer,2,1048576,100,0.573987,209715200,365.37,348.44,,cbb2ec24,multibuffer_table_O3_t2,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=2 -pthread /home/csexperiment/code/sm4_multibuffer_table_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_table_O3_t2
2026-05-16T21:28:42,wsl-arch,gcc,O3,multibuffer_table,cbc_encrypt_multi_buffer,4,1048576,100,0.591299,419430400,709.34,676.48,,02f72479,multibuffer_table_O3_t4,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=4 -pthread /home/csexperiment/code/sm4_multibuffer_table_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_table_O3_t4
2026-05-16T21:28:43,wsl-arch,gcc,O3,multibuffer_table,cbc_encrypt_multi_buffer,8,1048576,100,1.212416,838860800,691.89,659.84,,2f850ac2,multibuffer_table_O3_t8,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=8 -pthread /home/csexperiment/code/sm4_multibuffer_table_pthread.c -o /home/csexperiment/code/build_sm4_bench/multibuffer_table_O3_t8
2026-05-16T21:28:44,wsl-arch,gcc,O3,decrypt_parallel_original,cbc_decrypt_parallel,1,1048576,100,0.869673,104857600,120.57,114.99,ok,a983a2ee,decrypt_parallel_original_O3_t1,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=1 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O3_t1
2026-05-16T21:28:45,wsl-arch,gcc,O3,decrypt_parallel_original,cbc_decrypt_parallel,2,1048576,100,0.445438,104857600,235.40,224.50,ok,a983a2ee,decrypt_parallel_original_O3_t2,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=2 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O3_t2
2026-05-16T21:28:45,wsl-arch,gcc,O3,decrypt_parallel_original,cbc_decrypt_parallel,4,1048576,100,0.241294,104857600,434.56,414.43,ok,a983a2ee,decrypt_parallel_original_O3_t4,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=4 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O3_t4
2026-05-16T21:28:46,wsl-arch,gcc,O3,decrypt_parallel_original,cbc_decrypt_parallel,8,1048576,100,0.255078,104857600,411.08,392.04,ok,a983a2ee,decrypt_parallel_original_O3_t8,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=8 -pthread /home/csexperiment/code/sm4_cbc_decrypt_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_original_O3_t8
2026-05-16T21:28:47,wsl-arch,gcc,O3,decrypt_parallel_table,cbc_decrypt_parallel,1,1048576,100,0.575921,104857600,182.07,173.64,ok,a983a2ee,decrypt_parallel_table_O3_t1,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=1 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O3_t1
2026-05-16T21:28:47,wsl-arch,gcc,O3,decrypt_parallel_table,cbc_decrypt_parallel,2,1048576,100,0.294557,104857600,355.98,339.49,ok,a983a2ee,decrypt_parallel_table_O3_t2,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=2 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O3_t2
2026-05-16T21:28:48,wsl-arch,gcc,O3,decrypt_parallel_table,cbc_decrypt_parallel,4,1048576,100,0.170387,104857600,615.41,586.90,ok,a983a2ee,decrypt_parallel_table_O3_t4,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=4 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O3_t4
2026-05-16T21:28:48,wsl-arch,gcc,O3,decrypt_parallel_table,cbc_decrypt_parallel,8,1048576,100,0.174436,104857600,601.12,573.28,ok,a983a2ee,decrypt_parallel_table_O3_t8,gcc -std=c11 -O3 -Wall -Wextra -DDATA_LEN=1048576 -DLOOP=100 -DTHREADS=8 -pthread /home/csexperiment/code/sm4_cbc_decrypt_table_parallel.c -o /home/csexperiment/code/build_sm4_bench/decrypt_parallel_table_O3_t8
