Matrix_Size,Cache_Capacity_KB,Hit_Rate,Misses
32,32,99.70094317920405,208
32,64,99.70094317920405,208
64,32,99.70949161031805,1566
64,64,99.85456029533164,784
128,32,49.76650245679819,2135968
128,64,97.26987668855635,116087
