Capacity_KB,Policy,Hit_Rate,Misses
16,LRU,49.75765972363166,2136344
16,FIFO,49.7512863707377,2136615
32,LRU,49.76650245679819,2135968
32,FIFO,49.760858159032324,2136208
64,LRU,97.26987668855635,116087
64,FIFO,97.25856457511726,116568
128,LRU,99.85480043997302,6174
128,FIFO,99.83067106702393,7200
