Capacity_KB,Naive_Hit_Rate,Blocked_Hit_Rate
4,49.75163913934807,96.69110973093483
8,49.75239171238352,96.69110973093483
16,49.75765972363166,98.98573172088922
32,49.76650245679819,99.74295213880583
64,97.26987668855635,99.7690034431739
128,99.85480043997302,99.8677767529648
